options;jvm;benchmark;pvalues;utests;effectsize
 -XX:TieredStopAtLevel=4;15.0.1-open;pmd;0.3720293385704434;23.0;0.640625
 -XX:TieredStopAtLevel=3;15.0.1-open;pmd;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;pmd;0.0009391056991171899;64.0;0.0
 -XX:-TieredCompilation;15.0.1-open;pmd;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=1;15.0.1-open;sunflow;0.002761604417827473;61.0;0.046875
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;sunflow;0.31842506670681614;22.0;0.65625
 -XX:TieredStopAtLevel=4;15.0.1-open;sunflow;0.31842506670681614;22.0;0.65625
 -XX:TieredStopAtLevel=3;15.0.1-open;sunflow;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;sunflow;0.0009391056991171899;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;sunflow;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=4;15.0.1-open;als;0.713191261016072;28.0;0.5625
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;als;0.27014853272850603;21.0;0.671875
 -XX:-TieredCompilation;15.0.1-open;als;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=1;15.0.1-open;dotty;0.0009391056991171899;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;dotty;0.7928955031789606;35.0;0.453125
 -XX:TieredStopAtLevel=4;15.0.1-open;dotty;0.6365024869138661;37.0;0.421875
 -XX:TieredStopAtLevel=3;15.0.1-open;dotty;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;dotty;0.0009391056991171899;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;dotty;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=1;15.0.1-open;neo4j;0.0009391056991171899;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;neo4j;0.43089704373626736;40.0;0.375
 -XX:TieredStopAtLevel=4;15.0.1-open;neo4j;0.6365024869138661;37.0;0.421875
 -XX:TieredStopAtLevel=3;15.0.1-open;neo4j;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;neo4j;0.0009391056991171899;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;neo4j;0.0009391056991171899;64.0;0.0
 -XX:TieredStopAtLevel=1;15.0.1-open;reactors;0.002165029333038379;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;reactors;0.6092801593041028;29.0;0.40816326530612246
 -XX:TieredStopAtLevel=4;15.0.1-open;reactors;0.4432885221164401;31.0;0.3673469387755102
 -XX:TieredStopAtLevel=3;15.0.1-open;reactors;0.002165029333038379;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;reactors;0.002165029333038379;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;reactors;0.015193609977460219;44.0;0.10204081632653061
 -XX:TieredStopAtLevel=1;15.0.1-open;scrabble;0.002165029333038379;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;scrabble;0.12520102961031548;12.0;0.7551020408163265
 -XX:TieredStopAtLevel=4;15.0.1-open;scrabble;0.4432885221164401;18.0;0.6326530612244898
 -XX:TieredStopAtLevel=3;15.0.1-open;scrabble;0.002165029333038379;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;scrabble;0.002165029333038379;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;scrabble;0.015193609977460219;5.0;0.8979591836734694
 -XX:TieredStopAtLevel=1;15.0.1-open;fj-kmeans;0.002165029333038379;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;fj-kmeans;0.8983267872692382;26.0;0.46938775510204084
 -XX:TieredStopAtLevel=4;15.0.1-open;fj-kmeans;0.7982978473285264;22.0;0.5510204081632653
 -XX:TieredStopAtLevel=3;15.0.1-open;fj-kmeans;0.002165029333038379;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;fj-kmeans;0.002165029333038379;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;fj-kmeans;0.04091355298449677;41.0;0.16326530612244897
