options;jvm;benchmark;pvalues;utests;effectsize
 -XX:TieredStopAtLevel=4;15.0.1-open;pmd;0.27014853272850603;21.0;0.671875
 -XX:TieredStopAtLevel=3;15.0.1-open;pmd;0.005384940000147031;5.0;0.921875
 -XX:TieredStopAtLevel=2;15.0.1-open;pmd;0.0009391056991171899;64.0;0.0
 -XX:-TieredCompilation;15.0.1-open;pmd;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=1;15.0.1-open;sunflow;0.007405533340500268;58.0;0.09375
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;sunflow;0.563523716477718;26.0;0.59375
 -XX:TieredStopAtLevel=4;15.0.1-open;sunflow;0.6365024869138661;27.0;0.578125
 -XX:TieredStopAtLevel=3;15.0.1-open;sunflow;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;sunflow;0.0009391056991171899;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;sunflow;0.0013593755271592322;1.0;0.984375
 -XX:TieredStopAtLevel=4;15.0.1-open;als;0.06608191591670358;50.0;0.21875
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;als;0.6365024869138661;27.0;0.578125
 -XX:-TieredCompilation;15.0.1-open;als;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=1;15.0.1-open;dotty;0.0009391056991171899;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;dotty;0.31842506670681614;42.0;0.34375
 -XX:TieredStopAtLevel=4;15.0.1-open;dotty;0.9581219265777428;33.0;0.484375
 -XX:TieredStopAtLevel=3;15.0.1-open;dotty;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;dotty;0.0009391056991171899;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;dotty;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=1;15.0.1-open;neo4j;0.0009391056991171899;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;neo4j;0.3720293385704434;41.0;0.359375
 -XX:TieredStopAtLevel=4;15.0.1-open;neo4j;0.713191261016072;36.0;0.4375
 -XX:TieredStopAtLevel=3;15.0.1-open;neo4j;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;neo4j;0.0009391056991171899;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;neo4j;0.0009391056991171899;64.0;0.0
 -XX:TieredStopAtLevel=1;15.0.1-open;reactors;0.002165029333038379;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;reactors;0.5229032345126707;30.0;0.3877551020408163
 -XX:TieredStopAtLevel=4;15.0.1-open;reactors;0.7982978473285264;27.0;0.4489795918367347
 -XX:TieredStopAtLevel=3;15.0.1-open;reactors;0.002165029333038379;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;reactors;0.002165029333038379;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;reactors;0.04091355298449677;41.0;0.16326530612244897
 -XX:TieredStopAtLevel=1;15.0.1-open;scrabble;0.002165029333038379;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;scrabble;0.701478108866614;21.0;0.5714285714285714
 -XX:TieredStopAtLevel=4;15.0.1-open;scrabble;1.0;25.0;0.4897959183673469
 -XX:TieredStopAtLevel=3;15.0.1-open;scrabble;0.002165029333038379;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;scrabble;0.002165029333038379;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;scrabble;0.0032945138765825797;1.0;0.9795918367346939
 -XX:TieredStopAtLevel=1;15.0.1-open;fj-kmeans;0.002165029333038379;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;fj-kmeans;0.6092801593041028;29.0;0.40816326530612246
 -XX:TieredStopAtLevel=4;15.0.1-open;fj-kmeans;1.0;24.0;0.5102040816326531
 -XX:TieredStopAtLevel=3;15.0.1-open;fj-kmeans;0.002165029333038379;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;fj-kmeans;0.002165029333038379;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;fj-kmeans;0.021450733686322068;43.0;0.12244897959183673
