benchmark;jvm;options;iteration;duration;CPU;DRAM;exitcode
pmd;OPEN;5Concurent;1;4621354.469;304160000.0;70680000.0;0
pmd;OPEN;1Parallel;1;5469222.956;365930000.0;84730000.0;0
pmd;OPEN;1Concurent;1;4686197.489;306270000.0;70900000.0;0
pmd;OPEN;DisableExplicitGC;1;4615796.356000001;302570000.0;70480000.0;0
pmd;OPEN;ParallelCG;1;4536900.131;295310000.0;67860000.0;0
pmd;OPEN;ParallelOldGC;1;4771198.93;310740000.0;71490000.0;0
pmd;OPEN;SerialGC;1;4825932.9690000005;312940000.0;72170000.0;0
pmd;OPEN;Epsilon;1;5056423.712;314950000.0;76040000.0;0
sunflow;Graal;default;1;5005774.8259999985;380600000.0;80120000.0;0
sunflow;Graal;G1;1;4991758.12;367060000.0;79470000.0;0
sunflow;Graal;5Parallel;1;5108022.053;369720000.0;78220000.0;0
sunflow;Graal;5Concurent;1;5008884.086;371710000.0;79150000.0;0
sunflow;Graal;1Parallel;1;4618502.069;314360000.0;67730000.0;0
sunflow;Graal;1Concurent;1;4628368.337;324690000.0;70350000.0;0
sunflow;Graal;DisableExplicitGC;1;4420119.7820000015;326370000.0;70110000.0;0
sunflow;Graal;ParallelCG;1;4652007.05;328710000.0;72590000.0;0
sunflow;Graal;ParallelOldGC;1;4564597.449;338820000.0;73610000.0;0
sunflow;J9;default;1;6336620.414000001;471440000.0;98040000.0;0
sunflow;J9;ConcurrentScavenge;1;7213650.591999998;551710000.0;114340000.0;0
sunflow;J9;ScvNoAdaptiveTenure;1;7073368.857000001;526050000.0;109930000.0;0
sunflow;J9;Balanced;1;6856187.687999999;527910000.0;108540000.0;0
sunflow;J9;Gencon;1;7482739.545;559250000.0;115180000.0;0
sunflow;J9;Metronome;1;5853227.834;421790000.0;81860000.0;0
sunflow;J9;Nogc;1;7048210.3330000015;517660000.0;103410000.0;0
sunflow;J9;Optavgpause;1;7550149.676;550940000.0;112860000.0;0
sunflow;J9;Optthruput;1;5771281.550000002;410310000.0;83280000.0;0
sunflow;OPEN;default;1;4427578.7;322160000.0;67320000.0;0
sunflow;OPEN;G1;1;4856656.694;364910000.0;76500000.0;0
sunflow;OPEN;5Parallel;1;4691388.161;346930000.0;72600000.0;0
sunflow;OPEN;5Concurent;1;4818636.285;355430000.0;75500000.0;0
sunflow;OPEN;1Parallel;1;4380018.773;304510000.0;65550000.0;0
sunflow;OPEN;1Concurent;1;4981204.114999998;369740000.0;77620000.0;0
sunflow;OPEN;DisableExplicitGC;1;4225321.715;302020000.0;63560000.0;0
sunflow;OPEN;ParallelCG;1;4505321.6219999995;328420000.0;70050000.0;0
sunflow;OPEN;ParallelOldGC;1;4228740.6159999985;290930000.0;62980000.0;0
sunflow;OPEN;SerialGC;1;4845672.2930000005;357580000.0;77270000.0;0
sunflow;OPEN;Epsilon;1;3389213.9439999997;197280000.0;45290000.0;0
avrora;Graal;default;2;76958192.95300001;4183870000.0;1001990000.0;0
avrora;Graal;G1;2;73742620.701;3835240000.0;957960000.0;0
avrora;Graal;5Parallel;2;64010899.171;3148340000.0;831610000.0;0
avrora;Graal;5Concurent;2;76894261.49700001;4179900000.0;1004080000.0;0
avrora;Graal;1Parallel;2;75193951.67;4046750000.0;980480000.0;0
avrora;Graal;1Concurent;2;71823721.529;3697570000.0;936190000.0;0
avrora;Graal;DisableExplicitGC;2;76336937.361;4127180000.000001;995670000.0;0
avrora;Graal;ParallelCG;2;67898341.831;3486470000.0;882880000.0;0
avrora;Graal;ParallelOldGC;2;72825928.852;3669070000.0;948470000.0;0
avrora;J9;default;2;33459112.523;2182150000.0;448590000.0;0
avrora;J9;ConcurrentScavenge;2;33358711.126999997;2176130000.0;446920000.0;0
avrora;J9;ScvNoAdaptiveTenure;2;33401371.19;2176930000.0;446240000.0;0
avrora;J9;Balanced;2;34797532.632;2293920000.0;469300000.0;0
avrora;J9;Gencon;2;35370501.036;2322340000.0;476890000.0;0
avrora;J9;Metronome;2;35820998.162999995;2378460000.0;487430000.0;0
avrora;J9;Nogc;2;34342560.374;2256090000.0;462140000.0;0
avrora;J9;Optavgpause;2;35899013.537999995;2349240000.0;483110000.0;0
avrora;J9;Optthruput;2;33277107.735000007;2165830000.0;445170000.0;0
avrora;OPEN;default;2;73901721.295;3950110000.0;962570000.0;0
avrora;OPEN;G1;2;76802168.757;4232790000.0;1002860000.0;0
avrora;OPEN;5Parallel;2;77431076.359;4277160000.0;1012230000.0;0
avrora;OPEN;5Concurent;2;75332205.24399999;4153200000.0;984030000.0;0
avrora;OPEN;1Parallel;2;75575438.66399999;4120920000.0;986890000.0;0
avrora;OPEN;1Concurent;2;75063178.863;4133530000.0;981160000.0;0
avrora;OPEN;DisableExplicitGC;2;71228385.22000001;3572430000.0;927230000.0;0
avrora;OPEN;ParallelCG;2;77210597.939;4242060000.000001;1007180000.0;0
avrora;OPEN;ParallelOldGC;2;72964590.02399999;3921420000.0;949520000.0;0
avrora;OPEN;SerialGC;2;76810167.28899999;4219900000.0;1002510000.0;0
avrora;OPEN;Epsilon;2;73247064.30600001;3833490000.0;956130000.0;0
h2;Graal;default;2;38500872.388000004;1904920000.0;516960000.00000006;0
