options;jvm;benchmark;pvalues;utests;effectsize
ParallelCG;OPEN;h2;0.024044949905367985;129.0;0.23668639053254437
ParallelOldGC;OPEN;h2;0.6816178642730836;76.0;0.5502958579881657
1Concurent;OPEN;h2;0.6816178642730836;76.0;0.5502958579881657
SerialGC;OPEN;h2;0.7196142711598057;77.0;0.5443786982248521
5Concurent;OPEN;h2;0.5383007490187228;72.0;0.5739644970414202
G1;OPEN;h2;0.11189261385062192;53.0;0.6863905325443787
Epsilon;OPEN;h2;1.6496665061862602e-05;169.0;0.0
1Parallel;OPEN;h2;0.0003310033932457685;14.0;0.9171597633136095
5Parallel;OPEN;lusearch;0.18242243945173575;111.0;0.3431952662721893
DisableExplicitGC;OPEN;lusearch;0.6816178642730836;93.0;0.44970414201183434
ParallelCG;OPEN;lusearch;0.6260721155069418;94.5;0.4408284023668639
ParallelOldGC;OPEN;lusearch;0.8777310415017161;81.0;0.5207100591715976
1Concurent;OPEN;lusearch;0.18242243945173575;111.0;0.3431952662721893
SerialGC;OPEN;lusearch;0.4727889073230682;70.0;0.5857988165680473
5Concurent;OPEN;lusearch;0.8374719604535413;89.0;0.47337278106508873
G1;OPEN;lusearch;0.4727889073230682;99.0;0.41420118343195267
Epsilon;OPEN;lusearch;0.6080768794659228;74.0;0.5621301775147929
1Parallel;OPEN;lusearch;0.30506082202155305;105.0;0.378698224852071
5Parallel;OPEN;lusearch-fix;0.9183089345454835;87.0;0.48520710059171596
DisableExplicitGC;OPEN;lusearch-fix;0.10079209270783758;52.0;0.6923076923076923
ParallelCG;OPEN;lusearch-fix;0.11189261385062192;53.0;0.6863905325443787
ParallelOldGC;OPEN;lusearch-fix;0.4119238236601619;68.0;0.5976331360946746
1Concurent;OPEN;lusearch-fix;0.5552949548949819;72.5;0.5710059171597633
SerialGC;OPEN;lusearch-fix;0.010344297202998076;34.0;0.7988165680473372
5Concurent;OPEN;lusearch-fix;0.44175632742491955;69.0;0.591715976331361
G1;OPEN;lusearch-fix;0.027445099375459536;41.0;0.757396449704142
Epsilon;OPEN;lusearch-fix;0.07267412867689323;49.0;0.7100591715976331
1Parallel;OPEN;lusearch-fix;0.3559671197337311;66.0;0.6094674556213018
5Parallel;OPEN;pmd;0.979540166147195;84.5;0.5
DisableExplicitGC;OPEN;pmd;0.30506082202155305;105.0;0.378698224852071
ParallelCG;OPEN;pmd;4.073591886762872e-05;165.0;0.023668639053254437
ParallelOldGC;OPEN;pmd;0.5213635769999366;97.5;0.4230769230769231
1Concurent;OPEN;pmd;0.4727889073230682;70.0;0.5857988165680473
SerialGC;OPEN;pmd;0.0004024659086884892;154.0;0.08875739644970414
5Concurent;OPEN;pmd;0.15103152823115532;113.0;0.33136094674556216
G1;OPEN;pmd;0.39738623053261324;101.5;0.3994082840236686
Epsilon;OPEN;pmd;8.718203617717383e-05;7.5;0.9556213017751479
1Parallel;OPEN;pmd;0.0007127805381895617;18.0;0.893491124260355
5Parallel;OPEN;sunflow;0.3298783320498747;104.0;0.38461538461538464
DisableExplicitGC;OPEN;sunflow;0.021016256227518675;130.0;0.23076923076923078
ParallelCG;OPEN;sunflow;0.6816178642730836;93.0;0.44970414201183434
ParallelOldGC;OPEN;sunflow;0.16609768650615142;112.0;0.33727810650887574
1Concurent;OPEN;sunflow;0.19982465733238353;110.0;0.34911242603550297
SerialGC;OPEN;sunflow;0.022463288963780973;39.5;0.7662721893491125
5Concurent;OPEN;sunflow;0.44175632742491955;100.0;0.40828402366863903
G1;OPEN;sunflow;0.16617010468287607;112.0;0.33727810650887574
Epsilon;OPEN;sunflow;1.6496665061862602e-05;169.0;0.0
1Parallel;OPEN;sunflow;0.002091492660477514;145.0;0.14201183431952663
5Parallel;OPEN;als;0.4033953048926283;8.0;0.68
DisableExplicitGC;OPEN;als;0.5308693039685082;16.0;0.36
ParallelCG;OPEN;als;0.012185780355344813;25.0;0.0
ParallelOldGC;OPEN;als;0.5308693039685082;9.0;0.64
1Concurent;OPEN;als;0.8345316227109287;11.0;0.56
SerialGC;OPEN;als;0.06010280593886631;22.0;0.12
5Concurent;OPEN;als;0.5308693039685082;9.0;0.64
G1;OPEN;als;0.5308693039685082;9.0;0.64
Epsilon;OPEN;als;0.012185780355344813;25.0;0.0
1Parallel;OPEN;als;0.012185780355344813;0.0;1.0
5Parallel;OPEN;dotty;0.09469294259947589;21.0;0.16
DisableExplicitGC;OPEN;dotty;1.0;12.0;0.52
ParallelCG;OPEN;dotty;0.012185780355344813;25.0;0.0
ParallelOldGC;OPEN;dotty;0.8345316227109287;11.0;0.56
1Concurent;OPEN;dotty;0.4033953048926283;8.0;0.68
SerialGC;OPEN;dotty;0.012185780355344813;25.0;0.0
5Concurent;OPEN;dotty;0.14367208180696023;20.0;0.2
G1;OPEN;dotty;0.4033953048926283;8.0;0.68
Epsilon;OPEN;dotty;0.012185780355344813;25.0;0.0
1Parallel;OPEN;dotty;0.09469294259947589;4.0;0.84
5Parallel;OPEN;fj-kmeans;0.8345316227109287;14.0;0.44
DisableExplicitGC;OPEN;fj-kmeans;0.09469294259947589;21.0;0.16
ParallelCG;OPEN;fj-kmeans;0.2962698714842864;18.0;0.28
ParallelOldGC;OPEN;fj-kmeans;0.4033953048926283;8.0;0.68
1Concurent;OPEN;fj-kmeans;0.5308693039685082;16.0;0.36
SerialGC;OPEN;fj-kmeans;0.0936926194932482;21.0;0.16
5Concurent;OPEN;fj-kmeans;0.6004018480969685;15.5;0.38
G1;OPEN;fj-kmeans;0.8345316227109287;14.0;0.44
Epsilon;OPEN;fj-kmeans;0.012185780355344813;0.0;1.0
1Parallel;OPEN;fj-kmeans;0.5308693039685082;16.0;0.36
5Parallel;OPEN;neo4j;0.8345316227109287;14.0;0.44
DisableExplicitGC;OPEN;neo4j;0.0367138563627041;23.0;0.08
ParallelCG;OPEN;neo4j;0.4033953048926283;8.0;0.68
ParallelOldGC;OPEN;neo4j;0.2962698714842864;18.0;0.28
1Concurent;OPEN;neo4j;0.6761033140231469;15.0;0.4
SerialGC;OPEN;neo4j;0.012185780355344813;25.0;0.0
5Concurent;OPEN;neo4j;1.0;13.0;0.48
G1;OPEN;neo4j;0.5308693039685082;16.0;0.36
Epsilon;OPEN;neo4j;0.012185780355344813;25.0;0.0
1Parallel;OPEN;neo4j;0.0367138563627041;2.0;0.92
5Parallel;OPEN;philosopher;0.2100750407866585;19.0;0.24
DisableExplicitGC;OPEN;philosopher;0.6761033140231469;15.0;0.4
ParallelCG;OPEN;philosopher;0.4033953048926283;17.0;0.32
ParallelOldGC;OPEN;philosopher;0.4033953048926283;8.0;0.68
1Concurent;OPEN;philosopher;0.2100750407866585;6.0;0.76
SerialGC;OPEN;philosopher;0.24915263858192682;18.5;0.26
5Concurent;OPEN;philosopher;0.5308693039685082;16.0;0.36
G1;OPEN;philosopher;0.2962698714842864;7.0;0.72
