options;jvm;benchmark;pvalues;utests;effectsize
Balanced;J9;pmd;0.4119238236601619;68.0;0.5976331360946746
Nogc;J9;pmd;0.15103152823115532;113.0;0.33136094674556216
ConcurrentScavenge;J9;pmd;0.8777310415017161;88.0;0.47928994082840237
Optavgpause;J9;pmd;2.077353660397198e-05;1.0;0.9940828402366864
Optthruput;J9;sunflow;9.721654366930001e-05;161.0;0.047337278106508875
ScvNoAdaptiveTenure;J9;sunflow;0.2184091866192417;60.0;0.6449704142011834
Metronome;J9;sunflow;2.6093420340082564e-05;167.0;0.011834319526627219
Gencon;J9;sunflow;0.30506082202155305;64.0;0.621301775147929
Balanced;J9;sunflow;0.5049850750938458;71.0;0.5798816568047337
Nogc;J9;sunflow;0.7196142711598057;92.0;0.4556213017751479
ConcurrentScavenge;J9;sunflow;0.018325521931295465;38.0;0.7751479289940828
Optavgpause;J9;sunflow;0.04550026389635839;124.0;0.26627218934911245
Optthruput;J9;als;1.0;12.0;0.52
ScvNoAdaptiveTenure;J9;als;0.012185780355344813;0.0;1.0
Metronome;J9;als;0.012185780355344813;25.0;0.0
Gencon;J9;als;0.2962698714842864;7.0;0.72
Balanced;J9;als;0.012185780355344813;0.0;1.0
Nogc;J9;als;0.02157174794772092;1.0;0.96
ConcurrentScavenge;J9;als;0.012185780355344813;0.0;1.0
Optavgpause;J9;als;0.012185780355344813;0.0;1.0
Optthruput;J9;dotty;0.4033953048926283;17.0;0.32
ScvNoAdaptiveTenure;J9;dotty;0.8345316227109287;11.0;0.56
Metronome;J9;dotty;0.012185780355344813;0.0;1.0
Gencon;J9;dotty;0.8345316227109287;11.0;0.56
Balanced;J9;dotty;0.012185780355344813;0.0;1.0
Nogc;J9;dotty;0.14367208180696023;5.0;0.8
ConcurrentScavenge;J9;dotty;0.012185780355344813;0.0;1.0
Optavgpause;J9;dotty;0.012185780355344813;0.0;1.0
Optthruput;J9;fj-kmeans;1.0;13.0;0.48
ScvNoAdaptiveTenure;J9;fj-kmeans;0.8345316227109287;14.0;0.44
