options;jvm;benchmark;pvalues;utests;effectsize
Nogc;J9;avrora;0.6624718516536389;108.0;0.4489795918367347
ConcurrentScavenge;J9;avrora;0.5052568397470112;83.0;0.576530612244898
Optavgpause;J9;avrora;0.30121901003235063;75.0;0.6173469387755102
Optthruput;J9;h2;0.0024222796051442466;28.0;0.8461538461538461
ScvNoAdaptiveTenure;J9;h2;0.5350644544782064;84.0;0.5714285714285714
Metronome;J9;h2;1.1251058071805495e-05;0.0;1.0
Gencon;J9;h2;0.9085487981709219;95.0;0.5153061224489796
Balanced;J9;h2;3.9170731876700424e-05;8.0;0.9591836734693877
Nogc;J9;h2;0.00020542400976060417;14.0;0.9230769230769231
ConcurrentScavenge;J9;h2;8.546788222763544e-05;12.0;0.9387755102040817
Optavgpause;J9;h2;0.04402679859151475;49.0;0.7307692307692307
Optthruput;J9;lusearch;0.00011998644089779935;9.0;0.9467455621301775
ScvNoAdaptiveTenure;J9;lusearch;0.44175632742491955;100.0;0.40828402366863903
Metronome;J9;lusearch;1.6496665061862602e-05;0.0;1.0
Gencon;J9;lusearch;0.8374719604535413;89.0;0.47337278106508873
Balanced;J9;lusearch;1.6496665061862602e-05;0.0;1.0
Nogc;J9;lusearch;0.010344297202998076;34.0;0.7988165680473372
ConcurrentScavenge;J9;lusearch;0.2184091866192417;60.0;0.6449704142011834
Optavgpause;J9;lusearch;1.6496665061862602e-05;0.0;1.0
Optthruput;J9;lusearch-fix;1.6496665061862602e-05;0.0;1.0
ScvNoAdaptiveTenure;J9;lusearch-fix;0.011977025352235849;35.0;0.7928994082840237
Metronome;J9;lusearch-fix;1.6496665061862602e-05;0.0;1.0
Gencon;J9;lusearch-fix;0.04550026389635839;45.0;0.7337278106508875
Balanced;J9;lusearch-fix;1.6496665061862602e-05;0.0;1.0
Nogc;J9;lusearch-fix;0.004081478047545632;28.0;0.834319526627219
ConcurrentScavenge;J9;lusearch-fix;0.0577704316108834;47.0;0.7218934911242604
Optavgpause;J9;lusearch-fix;1.6496665061862602e-05;0.0;1.0
Optthruput;J9;pmd;1.0;84.0;0.5029585798816568
ScvNoAdaptiveTenure;J9;pmd;0.11189261385062192;116.0;0.3136094674556213
Metronome;J9;pmd;0.0029360137896547694;26.0;0.8461538461538461
Gencon;J9;pmd;0.57268433313998;96.0;0.4319526627218935
Balanced;J9;pmd;0.7583164735262904;78.0;0.5384615384615384
Nogc;J9;pmd;0.007660761135179473;137.0;0.1893491124260355
ConcurrentScavenge;J9;pmd;0.4727889073230682;99.0;0.41420118343195267
Optavgpause;J9;pmd;1.6496665061862602e-05;0.0;1.0
Optthruput;J9;sunflow;0.00014771976791772793;159.0;0.05917159763313609
ScvNoAdaptiveTenure;J9;sunflow;0.2184091866192417;60.0;0.6449704142011834
Metronome;J9;sunflow;3.269330273511375e-05;166.0;0.01775147928994083
Gencon;J9;sunflow;0.3833202927297332;67.0;0.6035502958579881
Balanced;J9;sunflow;0.9183089345454835;82.0;0.514792899408284
Nogc;J9;sunflow;0.9591007702858605;86.0;0.4911242603550296
ConcurrentScavenge;J9;sunflow;0.011977025352235849;35.0;0.7928994082840237
Optavgpause;J9;sunflow;0.9183089345454835;82.0;0.514792899408284
Optthruput;J9;als;0.8345316227109287;11.0;0.56
ScvNoAdaptiveTenure;J9;als;0.012185780355344813;0.0;1.0
Metronome;J9;als;0.012185780355344813;25.0;0.0
Gencon;J9;als;0.2100750407866585;6.0;0.76
Balanced;J9;als;0.012185780355344813;0.0;1.0
Nogc;J9;als;0.012185780355344813;0.0;1.0
ConcurrentScavenge;J9;als;0.012185780355344813;0.0;1.0
Optavgpause;J9;als;0.012185780355344813;0.0;1.0
Optthruput;J9;dotty;0.4033953048926283;17.0;0.32
ScvNoAdaptiveTenure;J9;dotty;0.2962698714842864;7.0;0.72
Metronome;J9;dotty;0.012185780355344813;0.0;1.0
Gencon;J9;dotty;0.2962698714842864;7.0;0.72
Balanced;J9;dotty;0.012185780355344813;0.0;1.0
Nogc;J9;dotty;0.012185780355344813;0.0;1.0
ConcurrentScavenge;J9;dotty;0.012185780355344813;0.0;1.0
Optavgpause;J9;dotty;0.012185780355344813;0.0;1.0
Optthruput;J9;fj-kmeans;0.2100750407866585;19.0;0.24
ScvNoAdaptiveTenure;J9;fj-kmeans;0.5308693039685082;16.0;0.36
Metronome;J9;fj-kmeans;0.5308693039685082;9.0;0.64
Gencon;J9;fj-kmeans;1.0;13.0;0.48
Balanced;J9;fj-kmeans;0.6761033140231469;15.0;0.4
Nogc;J9;fj-kmeans;0.14367208180696023;20.0;0.2
ConcurrentScavenge;J9;fj-kmeans;1.0;13.0;0.48
Optavgpause;J9;fj-kmeans;0.5308693039685082;16.0;0.36
Optthruput;J9;neo4j;0.8345316227109287;11.0;0.56
ScvNoAdaptiveTenure;J9;neo4j;0.012185780355344813;0.0;1.0
Metronome;J9;neo4j;0.012185780355344813;0.0;1.0
Gencon;J9;neo4j;0.6761033140231469;10.0;0.6
Balanced;J9;neo4j;0.012185780355344813;0.0;1.0
Nogc;J9;neo4j;0.012185780355344813;0.0;1.0
ConcurrentScavenge;J9;neo4j;0.012185780355344813;0.0;1.0
Optavgpause;J9;neo4j;0.012185780355344813;0.0;1.0
Optthruput;J9;philosopher;0.5308693039685082;9.0;0.64
ScvNoAdaptiveTenure;J9;philosopher;0.8345316227109287;14.0;0.44
Metronome;J9;philosopher;0.2962698714842864;7.0;0.72
Gencon;J9;philosopher;0.2100750407866585;19.0;0.24
Balanced;J9;philosopher;1.0;13.0;0.48
Nogc;J9;philosopher;0.4033953048926283;17.0;0.32
ConcurrentScavenge;J9;philosopher;0.8345316227109287;11.0;0.56
Optavgpause;J9;philosopher;0.09469294259947589;21.0;0.16
Optthruput;J9;reactors;0.2703441406547801;15.0;0.25
