benchmark;jvm;options;iteration;exitcode;duration;DRAM;CPU
dotty;15.0.1.j9-adpt; -XcompilationThreads1;1;0;82113372;1140286341;4914872855
dotty;15.0.1.j9-adpt; -XcompilationThreads3;1;0;58964229;829923837;3526092353
dotty;15.0.1.j9-adpt; -XcompilationThreads7;1;0;58578537;822756827;3496220847
dotty;15.0.1.j9-adpt; -Xjit:count=0;1;0;104089157;1405313048;4780047089
dotty;15.0.1.j9-adpt; -Xjit:count=1;1;0;63231285;871830797;3167803536
dotty;15.0.1.j9-adpt; -Xjit:count=10;1;0;54882531;817656020;3792878473
dotty;15.0.1.j9-adpt; -Xjit:count=100;1;0;52797958;777170232;3477265939
dotty;15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;97622906;1340763649;4886201359
dotty;15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;69424583;997105514;4259786458
dotty;15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;171369097;2717084574;13362870942
dotty;15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;307676557;4189489038;18336141108
dotty;15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;357944067;4885677717;21260142961
dotty;15.0.1-open;default;1;0;40055006;576885582;2511090312
dotty;15.0.1-open; -XX:-TieredCompilation;1;0;60269918;818849360;3118189526
dotty;15.0.1-open; -XX:TieredStopAtLevel=1;1;0;73503106;993232152;3300360387
dotty;15.0.1-open; -XX:TieredStopAtLevel=4;1;0;40439831;581225534;2535603372
dotty;15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;39680620;574659982;2507613271
neo4j;20.2.0.r11-grl;default;1;0;54413091;850640221;3200002123
neo4j;20.2.0.r11-grl; -XX:-UseJVMCICompiler;1;0;85196514;1273291535;5133779948
neo4j;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;1;0;176601022;2500665506;9821873660
neo4j;15.0.1.j9-adpt;default;1;0;76047117;1119097324;4350274385
neo4j;15.0.1.j9-adpt; -XcompilationThreads1;1;0;91205775;1329111750;5294993464
neo4j;15.0.1.j9-adpt; -XcompilationThreads3;1;0;78592888;1164108410;4499511369
neo4j;15.0.1.j9-adpt; -XcompilationThreads7;1;0;80553373;1198847153;4619320450
neo4j;15.0.1.j9-adpt; -Xjit:count=0;1;0;199531407;2797138166;10552732567
neo4j;15.0.1.j9-adpt; -Xjit:count=1;1;0;123644211;1770347914;6989060049
neo4j;15.0.1.j9-adpt; -Xjit:count=10;1;0;83586866;1246098662;5020631129
neo4j;15.0.1.j9-adpt; -Xjit:count=100;1;0;76144781;1132178671;4455912971
neo4j;15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;129650142;1865152620;7248702818
neo4j;15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;86956921;1283860820;5096988904
neo4j;15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;132189610;1984085992;8874530627
neo4j;15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;343619150;4751209017;21225540632
neo4j;15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;478794637;6582151906;29530564965
neo4j;15.0.1-open;default;1;0;81996777;1234603452;4909644047
neo4j;15.0.1-open; -XX:-TieredCompilation;1;0;67669817;1026750121;3880549208
neo4j;15.0.1-open; -XX:TieredStopAtLevel=1;1;0;151858528;2185053205;8600727494
neo4j;15.0.1-open; -XX:TieredStopAtLevel=4;1;0;78968989;1193736065;4721062437
neo4j;15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;79021967;1196242756;4709267669
reactors;20.2.0.r11-grl;default;1;0;391104345;5723332063;23609190048
reactors;20.2.0.r11-grl; -XX:-UseJVMCICompiler;1;0;426569578;6217296449;25731180222
reactors;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;1;0;513883679;7394852365;30487337053
reactors;15.0.1.j9-adpt;default;1;0;221395325;3308723762;12703167125
reactors;15.0.1.j9-adpt; -XcompilationThreads1;1;0;225541392;3366281107;13031606043
reactors;15.0.1.j9-adpt; -XcompilationThreads3;1;0;216869926;3238407930;12367136248
reactors;15.0.1.j9-adpt; -XcompilationThreads7;1;0;214740195;3194086921;12213021774
reactors;15.0.1.j9-adpt; -Xjit:count=0;1;0;312492576;4536651058;17438577367
reactors;15.0.1.j9-adpt; -Xjit:count=1;1;0;277335434;4057582231;15622868879
reactors;15.0.1.j9-adpt; -Xjit:count=10;1;0;234857768;3502692938;13423336913
