benchmark;jvm;options;iteration;duration;CPU;DRAM
lusearch;14.0.2-sapmchn;default;1;3726572.718;272100000.0;60150000.0
lusearch;13.0.2-sapmchn;default;1;3494445.366;254530000.0;56170000.0
lusearch;12.0.2-sapmchn;default;1;3073676.163;200010000.0;43330000.0
lusearch;11.0.9-sapmchn;default;1;3801661.764;257850000.00000003;56570000.0
lusearch;11.0.9-trava;default;1;3528481.4220000003;261680000.0;59500000.0
lusearch;8.0.232-trava;default;1;3489819.069;230410000.0;51880000.0
pmd;15.0.1.j9-adpt;default;1;4370694.091;257540000.00000003;55750000.0
pmd;15.0.1.hs-adpt;default;1;4629327.3040000005;325900000.0;70980000.0
pmd;14.0.2.j9-adpt;default;1;4569704.772;277800000.0;59090000.0
pmd;14.0.2.hs-adpt;default;1;4977405.478999999;345060000.0;76540000.0
pmd;13.0.2.j9-adpt;default;1;4573890.607;276740000.0;58080000.0
pmd;13.0.2.hs-adpt;default;1;5151027.062;362800000.0;79840000.0
pmd;12.0.2.j9-adpt;default;1;4790850.892;276050000.0;60480000.0
pmd;12.0.2.hs-adpt;default;1;5278633.135;366020000.0;80310000.0
pmd;11.0.9.j9-adpt;default;1;4456047.893;267390000.0;57490000.0
pmd;11.0.9.hs-adpt;default;1;5082087.602;355160000.0;78670000.0
pmd;8.0.275.j9-adpt;default;1;4466839.891;276320000.0;56970000.0
pmd;8.0.275.hs-adpt;default;1;5036961.215;339060000.0;73850000.0
pmd;11.0.8-albba;default;1;5154081.356;354610000.0;77250000.0
pmd;8u272-albba;default;1;5084452.5709999995;338100000.0;73980000.0
pmd;15.0.1-amzn;default;1;4523280.639;321980000.0;71550000.0
pmd;11.0.9-amzn;default;1;5074434.67;343320000.0;75920000.0
pmd;8.0.275-amzn;default;1;4980063.069;327580000.0;70130000.0
pmd;15.0.1-zulu;default;1;4526014.612;315250000.0;69670000.0
pmd;14.0.2-zulu;default;1;5033465.371;354830000.0;77920000.0
pmd;13.0.5-zulu;default;1;5029584.879;351300000.0;76850000.0
pmd;12.0.2-zulu;default;1;5159720.094;375790000.0;82180000.0
pmd;11.0.9-zulu;default;1;4948342.723999999;359100000.0;79420000.0
pmd;10.0.2-zulu;default;1;5035781.809;346100000.0;76560000.0
pmd;9.0.7-zulu;default;1;5218036.635;361900000.0;79280000.0
pmd;8.0.272-zulu;default;1;5412152.017;360520000.0;77170000.0
pmd;15.0.1-librca;default;1;4482794.648;318350000.0;70180000.0
pmd;14.0.2-librca;default;1;5045914.989;346720000.0;77310000.0
pmd;13.0.2-librca;default;1;5069537.457;355380000.0;78660000.0
pmd;12.0.2-librca;default;1;5226245.809;367200000.0;80100000.0
pmd;11.0.9-librca;default;1;4939196.894;356470000.0;77240000.0
pmd;8.0.275-librca;default;1;4928291.932;330670000.0;70850000.0
pmd;20.2.0.r11-grl;default;1;4785939.01;315060000.0;71350000.0
pmd;20.2.0.r8-grl;default;1;4927845.881999999;310600000.0;70530000.0
pmd;19.3.4.r11-grl;default;1;4836807.835;309310000.0;68650000.0
pmd;19.3.4.r8-grl;default;1;4795547.675;306520000.0;68250000.0
pmd;15.0.1-open;default;1;4789078.4860000005;322280000.0;71930000.0
pmd;14.0.2-open;default;1;4723409.187;329170000.0;72960000.0
pmd;13.0.2-open;default;1;5057574.278;356440000.0;78330000.0
pmd;12.0.2-open;default;1;5075571.052;360540000.0;78310000.0
pmd;11.0.2-open;default;1;4872456.987;353980000.0;77160000.0
pmd;10.0.2-open;default;1;5190169.444;361990000.0;79850000.0
pmd;9.0.4-open;default;1;5162223.824;361250000.0;79290000.0
pmd;8.0.265-open;default;1;5099975.642999999;349520000.0;74510000.0
pmd;20.2.0.0-mandrel;default;1;5212190.329;357050000.0;77910000.0
pmd;15.0.1-sapmchn;default;1;4605834.118;324360000.0;71970000.0
pmd;14.0.2-sapmchn;default;1;4892442.545;346080000.0;75490000.0
pmd;13.0.2-sapmchn;default;1;5078314.9969999995;354410000.0;77920000.0
pmd;12.0.2-sapmchn;default;1;5498488.748;396690000.0;87420000.0
pmd;11.0.9-sapmchn;default;1;5063585.341;362150000.0;78710000.0
pmd;11.0.9-trava;default;1;5240652.057;368850000.0;80510000.0
pmd;8.0.232-trava;default;1;5043189.488;336470000.0;72310000.0
sunflow;15.0.1.j9-adpt;default;1;6158244.0370000005;472170000.0;92630000.0
sunflow;15.0.1.hs-adpt;default;1;4478328.643;347070000.0;70700000.0
sunflow;14.0.2.j9-adpt;default;1;6262899.919;487950000.0;94560000.0
sunflow;14.0.2.hs-adpt;default;1;4193809.8989999997;308450000.0;62960000.0
sunflow;13.0.2.j9-adpt;default;1;6013467.027;458360000.0;88760000.0
sunflow;13.0.2.hs-adpt;default;1;4530591.985;352350000.0;71230000.0
sunflow;12.0.2.j9-adpt;default;1;5502656.686;417470000.0;79740000.0
sunflow;12.0.2.hs-adpt;default;1;4732649.700999999;360560000.0;72810000.0
sunflow;11.0.9.j9-adpt;default;1;5879441.006999999;462390000.0;91240000.0
sunflow;11.0.9.hs-adpt;default;1;4802436.583000001;358020000.0;72860000.0
sunflow;8.0.275.j9-adpt;default;1;5753800.833;432990000.0;84440000.0
sunflow;8.0.275.hs-adpt;default;1;4442449.644;330900000.0;68590000.0
sunflow;11.0.8-albba;default;1;4286915.288000001;308550000.0;63300000.0
sunflow;8u272-albba;default;1;5039529.512;387960000.0;81990000.0
sunflow;15.0.1-amzn;default;1;5147694.129;413310000.0;82220000.0
sunflow;11.0.9-amzn;default;1;4235077.698;310490000.0;62650000.0
sunflow;8.0.275-amzn;default;1;5009655.688999999;373400000.0;78160000.0
sunflow;15.0.1-zulu;default;1;4843902.717999999;347230000.0;70180000.0
sunflow;14.0.2-zulu;default;1;4297721.032;314420000.0;64620000.00000001
sunflow;13.0.5-zulu;default;1;4204082.792;316110000.0;65000000.0
sunflow;12.0.2-zulu;default;1;4464787.933;329910000.0;68050000.0
sunflow;11.0.9-zulu;default;1;4395074.464000001;325130000.0;66470000.0
sunflow;10.0.2-zulu;default;1;4614190.7809999995;341560000.0;69110000.0
sunflow;9.0.7-zulu;default;1;4490748.8549999995;343230000.0;70680000.0
